what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263510581000
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263510592587
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263510594259
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1263510606457
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510611183
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510612095
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510632023
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510633045
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510633255
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510634487
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510659092
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510660154
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510673713
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510674725
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263510686291
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263510701654
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263510717516
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1263510719239
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1263510722053
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510723815
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510724927
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263510725237
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1263510725928
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1263510725928
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1263510725928
