what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1264273928458
os,sysinfo,,,"win32",1264273928468
arch,sysinfo,,,"x86",1264273928468
ws,sysinfo,,,"win32",1264273928468
locale,sysinfo,,,"de_DE",1264273928468
processors,sysinfo,,,"1",1264273928468
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1264273928468
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1264273928468
java.specification.name,sysinfo,,,"Java Platform API Specification",1264273928468
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264273928468
java.specification.version,sysinfo,,,"1.6",1264273928468
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1264273928468
java.version,sysinfo,,,"1.6.0_18",1264273928468
java.vm.info,sysinfo,,,"mixed mode",1264273928468
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1264273928468
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1264273928468
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264273928468
java.vm.specification.version,sysinfo,,,"1.0",1264273928468
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1264273928468
java.vm.version,sysinfo,,,"16.0-b13",1264273928468
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.v20090901-1041,"org.eclipse.equinox.p2.repository",1264273928498
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1264273928988
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1264273929038
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1264273929079
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1264273929309
