what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263509703288
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509713503
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509715045
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1263509719481
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263509721304
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263509721484
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509726361
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509727493
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509727723
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509730367
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509763465
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509764316
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509782402
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509783353
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509792917
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509793698
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509799016
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509799917
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509807888
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509808609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509818514
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509819415
started,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1263509859062
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1263509867885
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263509876106
